timestamp,speed,accel,brake,turn_angle,steering_var,lateral_accel,jerk,road_type,weather,night,style_label,hard_brake,aggressive_accel,sharp_turn,speeding
2025-11-15T21:37:00.597905,74.96714153011233,0.5308678494144077,0.2277226245720831,14.138179138448152,0.3360926376936648,0.053172608610163895,0.41584256310147827,city,fog,1,normal,0,0,0,0
2025-11-15T21:37:01.597905,77.67434729152909,0.3652628070325239,0.21510720523031573,2.2194938431252265,0.1739891725008202,0.14839245431320683,-0.2826560489315596,city,fog,0,normal,0,0,0,0
2025-11-15T21:37:02.597905,52.75082167486967,0.31885623537951363,0.02846026555986915,6.885483995571644,0.1356168528648476,-0.1824607402670583,0.3931297537843108,rural,clear,1,calm,0,0,0,0
2025-11-15T21:37:03.597905,48.87111849756732,0.22025846140637717,0.0,1.733703652848904,0.5776458127969063,-0.13019871548446058,0.1751396036691344,city,clear,0,calm,0,0,0,0
2025-11-15T21:37:04.597905,63.99361310081195,0.4541531251033616,0.07779520653247236,16.113669107053624,0.49055194268344626,-0.11154218579118008,0.2645089824206378,city,fog,0,normal,0,0,0,0
2025-11-15T21:37:05.597905,81.68734525043467,1.6670908760038043,0.0,2.9691162933905826,0.6378028651083865,0.2476933159990821,0.13427365623799412,rural,fog,1,aggressive,0,1,0,0
2025-11-15T21:37:06.597905,68.8435171761176,0.4494481522053556,0.0,0.6809347496317484,0.17755286032814876,0.31142444524378315,0.1687236579136923,rural,rain,0,normal,0,0,0,0
2025-11-15T21:37:07.597905,73.554397669559,1.759267175515836,0.3037294298959209,0.9384679981642474,0.9281734021886074,0.3061999044991902,0.2862560238232397,city,fog,1,aggressive,0,1,0,0
2025-11-15T21:37:08.597905,61.607824767773614,0.44539381207439266,0.18975161176842767,10.853270762734155,0.16457803350829703,0.06286820466723658,-0.12126699480120565,city,clear,1,normal,0,0,0,0
2025-11-15T21:37:09.597905,44.01896687959665,0.4437577467182594,0.11781200142854115,4.567939270517997,1.202473028524417,0.17232720500952683,-0.02902395092102486,highway,clear,1,calm,0,0,0,0
2025-11-15T21:37:10.597905,105.4209340826262,2.730429253172775,0.3910434902225121,14.387861934884038,1.3338215728628209,0.2643805008750448,0.11740941364763426,rural,rain,0,dangerous,0,1,0,1
2025-11-15T21:37:11.597905,95.51488974301199,1.5734086212284017,0.0,3.6819686729749286,0.7499788000582225,0.3955788089483032,-0.0036540436547294747,rural,clear,1,aggressive,0,1,0,1
2025-11-15T21:37:12.597905,45.95753198553406,0.04947288692463905,0.0957701058851037,6.972506657958107,0.12916785736307285,0.20265348662267124,0.11941550986960808,highway,fog,1,calm,0,0,0,0
2025-11-15T21:37:13.597905,79.68644990532889,0.2489734530613238,0.1106805424082678,2.647351081207054,0.524460463692483,0.15922405541291523,0.15221105443597788,rural,clear,0,normal,0,0,0,0
2025-11-15T21:37:14.597905,70.05113456642461,0.4827064333124265,0.0,2.4761280634078457,0.2600998384312614,-0.0604554538443238,0.06774285766679818,highway,clear,0,normal,0,0,0,0
2025-11-15T21:37:15.597905,106.06076285221808,3.0089487209684243,0.44364445320795975,6.545302344336586,0.44788785896368294,-0.28375424305980834,0.09469722491015663,highway,rain,1,dangerous,0,1,0,0
